presa_id,clavesih,nombre_presa,estado_id,latitud,longitud,pred_vol_Base,pred_pct_Base,pred_pct_base_baja,pred_pct_base_alta,pred_vol_Temp_+1C,pred_pct_Temp_+1C,pred_vol_Temp_+2C,pred_pct_Temp_+2C,pred_vol_Temp_+3C,pred_pct_Temp_+3C
141,TXMHD,"Taxhimay, Méx.",MX-MEX,19.834722,-99.385278,38.759,0.9710627849877236,0.9225096457383374,1.01961592423711,37.208639999999995,0.9322202735882146,35.27069,0.8836671343388285,32.55756,0.8156927393896878
142,UREMC,"Urepetiro, Mich.",MX-MIC,19.962222,-102.137778,5.325,0.6429606375271674,0.610812605650809,0.6751086694035258,5.112,0.6172422120260806,4.845750000000001,0.5850941801497224,4.473,0.5400869355228206
143,VBRMX,"Valle de Bravo, Méx.",MX-MEX,19.2075,-100.18,253.762,0.6434290930297422,0.611257638378255,0.6756005476812293,243.61151999999998,0.6176919293085524,230.92342000000002,0.5855204746570654,213.16008,0.5404804381449834
144,VCRCL,"Venustiano Carranza, Coah.",MX-DESC,27.515,-100.616111,153.815,0.1759695686992335,0.16717109026427182,0.18476804713419517,147.6624,0.16893078595126415,139.97165,0.16013230751630247,129.2046,0.14781443770735614
145,VCVJL,"Vicente C. Villaseñor, Jal.",MX-JAL,19.939722,-102.941667,10.316,0.7144044529120409,0.6786842302664389,0.750124675557643,9.903360000000001,0.6858282747955593,9.38756,0.6501080521499573,8.66544,0.6000997404461144
146,VEGJL,"Ing. Santiago Camarena, Jal.",MX-JAL,20.596389,-103.845833,25.093,0.5698421729414404,0.5413500642943683,0.5983342815885124,24.08928,0.5470484860237828,22.83463,0.5185563773767108,21.07812,0.47866742527080985
147,VGRGR,"Vicente Guerrero, Gro.",MX-GRO,18.382778,-100.265833,151.17,0.6059160687803118,0.5756202653412962,0.6362118722193274,145.12319999999997,0.5816794260290993,137.5647,0.5513836225900838,126.98279999999998,0.5089694977754619
148,VGRTP,"Vicente Guerrero, Tamps.",MX-TAM,23.959444,-98.666389,2307.54,0.590059554707737,0.5605565769723501,0.6195625324431239,2215.2383999999997,0.5664571725194275,2099.8614000000002,0.5369541947840406,1938.3336,0.49565002595449903
149,VHGDR,"Villa Hidalgo, Dgo.",MX-DUR,26.2425,-104.928889,8.737,0.3785528596187175,0.3596252166377816,0.3974805025996534,8.38752,0.36341074523396877,7.950670000000001,0.3444831022530329,7.33908,0.31798440207972267
150,VTRGR,"Valerio Trujano, Gro.",MX-GRO,18.295833,-99.466111,13.21,0.4259366737602373,0.4046398400722254,0.4472335074482492,12.6816,0.4088992068098278,12.0211,0.38760237312181595,11.096400000000001,0.3577868059585993
151,VVCMX,"Villa Victoria, Méx.",MX-MEX,19.461667,-100.055556,68.426,0.3684304044194849,0.3500088841985106,0.38685192464045914,65.68896,0.35369318824270546,62.26766000000001,0.33527166802173125,57.47784,0.3094815397123673
152,AMEMC,"Aristeo Mercado, Mich.",MX-MIC,19.926111,-101.661111,5.201,0.2052162247474747,0.19495541351010096,0.21547703598484844,4.992959999999999,0.1970075757575757,4.7329099999999995,0.18674676452020197,4.36884,0.17238162878787874
153,ENDHD,"Endhó, Hgo.",MX-HID,20.163889,-99.36,114.0,0.6232914160743576,0.5921268452706396,0.6544559868780755,109.44,0.5983597594313832,103.74000000000001,0.5671951886276654,95.75999999999999,0.5235647895024603
154,PRGHD,"Javier Rojo Gómez, Hgo.",MX-HID,20.359722,-99.329444,18.928,0.4733183295823956,0.4496524131032758,0.4969842460615154,18.17088,0.45438559639909976,17.22448,0.43071967991998,15.89952,0.3975873968492123
155,PVAHD,"Vicente Aguirre, Hgo.",MX-HID,20.435556,-99.375833,5.229,0.2937805494690713,0.2790915219956177,0.30846957694252486,5.01984,0.2820293274903084,4.75839,0.2673403000168549,4.39236,0.24677566155401987
156,PIRMX,"Ignacio Ramírez, Méx.",MX-MEX,19.461667,-99.775,13.641,0.6743956098284472,0.6406758293370247,0.7081153903198696,13.09536,0.6474197854353092,12.413310000000001,0.6137000049438869,11.45844,0.5664923122558956
157,VILMC,"José María Morelos y Pavón, Mich.",MX-MIC,18.048333,-102.180278,522.465,0.9570182990493288,0.9091673840968623,1.0048692140017952,501.5664,0.9187375670873555,475.44315000000006,0.8708866521348892,438.8706,0.8038953712014362
158,ZMPHD,"Ing. Fernando Hiriart Balderrama, Hgo.",MX-HID,20.663333,-99.501111,1192.357,0.8578107913669064,0.8149202517985611,0.9007013309352517,1144.66272,0.8234983597122302,1085.04487,0.7806078201438849,1001.5798799999999,0.7205610647482014
159,CILAAMSMX,"Internacional La Amistad, Coah.",MX-DESC,29.446944,-101.057222,241.288,0.1363470949221884,0.129529740176079,0.14316444966829783,231.63648,0.13089321112530086,219.57208000000003,0.12407585637919145,202.68192,0.11453155973463826
160,CILAFLCMX,"Internacional Falcón, Tamps.",MX-TAM,26.560278,-99.170556,112.788,0.083445913452646,0.0792736177800137,0.0876182091252783,108.27647999999999,0.08010807691454015,102.63708,0.07593578124190786,94.74192,0.07009456730022263
161,CHLMC,"Constitución de Apatzingán, Jal.",MX-JAL,19.287778,-102.774167,313.487,0.5313113631388547,0.504745794981912,0.5578769312957975,300.94752,0.5100589086133005,285.27317000000005,0.48349334045635783,263.32908000000003,0.446301545036638
162,ZICMC,"Zicuirán, Mich.",MX-MIC,18.921111,-101.931944,18.56,0.5113793093780106,0.48581034390911004,0.5369482748469111,17.8176,0.4909241370028901,16.889599999999998,0.46535517153398964,15.590399999999999,0.42955861987752886
